Name,Birthday,Outcome Type,Outcome Subtype,Animal Type,Sex,Breed,Color
Moose,10/8/15,Adoption,,Dog,Neutered Male,Anatol Shepherd/Labrador Retriever,Buff
,3/12/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby
*Donatello,8/1/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black
*Zeus,6/3/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,White/Orange Tabby
,7/26/12,Transfer,SCRP,Cat,Intact Female,Domestic Shorthair Mix,Black
Artemis,1/20/10,Return to Owner,,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White
,6/9/14,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby
Luigi,6/5/14,Transfer,Partner,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White
,4/15/16,Euthanasia,Underage,Other,Unknown,Opossum,Gray
*Liza,5/18/16,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Calico
Terry,12/10/13,Return to Owner,,Dog,Neutered Male,Australian Cattle Dog Mix,Black/White
,4/3/13,Euthanasia,Suffering,Cat,Unknown,Domestic Shorthair Mix,Gray
King,10/30/15,Adoption,,Dog,Neutered Male,Pit Bull Mix,Brown Brindle/White
Canine,3/15/10,Return to Owner,,Dog,Neutered Male,German Shepherd Mix,Brown/Black
,4/17/15,Transfer,SCRP,Cat,Intact Male,Domestic Shorthair Mix,Black/White
Buster,6/16/10,Return to Owner,,Dog,Neutered Male,Dogo Argentino Mix,White/Brown
Milo,9/23/16,Adoption,,Dog,Neutered Male,Black Mouth Cur Mix,Brown/Black
,7/5/15,Euthanasia,Rabies Risk,Other,Unknown,Bat,Black/Brown
Valentine,2/10/02,Transfer,Partner,Dog,Spayed Female,Collie Rough Mix,Red
Indica,6/19/13,Adoption,,Dog,Spayed Female,German Shepherd Mix,Black/Tan
Big Boy,7/18/12,Return to Owner,,Dog,Neutered Male,American Staffordshire Terrier Mix,Brown Brindle/White
*Dell,3/30/15,Adoption,Offsite,Cat,Neutered Male,Domestic Shorthair Mix,White/Blue Tabby
Louie,6/1/14,Adoption,,Dog,Neutered Male,Dachshund/Chihuahua Shorthair,Sable/Tan
*Sterling,9/24/13,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White
Max,10/16/13,Return to Owner,,Dog,Neutered Male,Pug Mix,Brown Brindle
,4/9/17,Transfer,Snr,Cat,Unknown,Domestic Shorthair Mix,Black
Cleo,1/26/17,Adoption,,Cat,Spayed Female,Domestic Shorthair Mix,Blue/White
,10/18/17,Adoption,,Dog,Neutered Male,Rottweiler/Labrador Retriever,Black/Brown
*Binx,9/1/18,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black
Nutty Buddy,1/28/09,Return to Owner,,Dog,Neutered Male,Beagle Mix,Tan
Jamay,3/20/12,Return to Owner,,Cat,Neutered Male,Manx Mix,Brown Tabby/White
Duckie,9/20/16,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby
,12/30/16,Adoption,Foster,Dog,Spayed Female,Miniature Schnauzer Mix,Black/White
,3/27/17,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White
*Poppy,4/29/17,Return to Ownerdopt,,Dog,Spayed Female,Pointer Mix,White/Black
,9/4/17,Euthanasia,Suffering,Cat,Unknown,American Shorthair Mix,Gray Tabby/White
,3/20/16,Euthanasia,Rabies Risk,Other,Unknown,Bat Mix,Brown
26,9/1/15,Transfer,Partner,Dog,Intact Male,Pit Bull Mix,Brown Brindle
,11/2/16,Transfer,Partner,Dog,Neutered Male,Great Dane,Black/White
Satellite,5/3/10,Return to Owner,,Dog,Spayed Female,Australian Cattle Dog Mix,Red Tick
*Zelda,1/25/15,Adoption,,Dog,Spayed Female,Redbone Hound Mix,Red
*Jake,5/2/17,Adoption,,Dog,Neutered Male,Dachshund Mix,Brown
Foxy James,3/29/17,Adoption,,Cat,Intact Male,Domestic Shorthair Mix,Black/White
Kamio,9/3/03,Adoption,,Dog,Intact Female,Chihuahua Longhair Mix,Black/White
Harry,4/14/18,Transfer,Partner,Bird,Intact Male,Chicken Mix,Blue
Lennie,2/13/17,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Cream
Lennie,2/13/17,Adoption,,Dog,Neutered Male,Chihuahua Shorthair Mix,Cream
,4/4/15,Transfer,Partner,Cat,Intact Male,Domestic Shorthair Mix,Blue
*Hans,11/19/14,Adoption,,Cat,Neutered Male,Domestic Shorthair Mix,Black
